validation_type,model,held_out_pair,r2,rmse,mae,median_ae,max_ae,worst_pair_mae,empirical_interval_coverage,mean_interval_width
LTDO,B,Caffeine + Ketamine,-0.9458959381675489,2.5426718575150216,2.3757330847421105,2.6840654660016843,3.682715696291611,2.3757330847421105,1.0,62.1860623201099
LTDO,B,Caffeine + Lidocaine,-0.9607753358913973,2.1966375830120533,1.8259990179878534,1.7884625255059647,3.67377285384131,1.8259990179878536,1.0,54.182731011389585
LTDO,B,Caffeine + Naloxone,-5.517591912496787,3.5039671207549468,3.4174496988735976,3.375241139192555,4.803011245876574,3.417449698873598,1.0,114.32098918210684
LTDO,B,Caffeine + Promethazine,-2.4978773483650154,2.4905365386634455,2.3543856962746985,2.184112553688279,3.9164890030179667,2.354385696274699,1.0,87.78692505807048
LTDO,B,Diazepam + Diphenhydramine,0.01698965783838824,4.299738321075439,3.5957279182440356,2.833292082292548,6.601107917707452,3.5957279182440356,1.0,40.98334483004529
LTDO,B,Diazepam + Epinephrine,0.8211368874029256,2.2674637305523344,2.0364955743327546,2.567769298999444,2.698047349285714,2.0364955743327546,1.0,51.76138731899465
LTDO,B,Diazepam + Ketamine,-3.555184927311047,1.9228262517812895,1.6954842140356448,1.741204294251462,2.9216353972394984,1.6954842140356448,1.0,29.321817122455446
LTDO,B,Diazepam + Lidocaine,-1.8409178063659466,1.7482682392590765,1.4060493305578596,1.0835132799803964,3.186394319643437,1.4060493305578596,1.0,57.25166740592815
LTDO,B,Diazepam + Naloxone,-54.87567292039031,9.224898149817742,8.112700264024607,10.467504420029549,12.642446967918884,8.112700264024607,1.0,161.78212632862406
LTDO,B,Diazepam + Promethazine,-0.17480596025854322,1.2216659304441917,0.8250403633211476,0.394966482906541,3.099406265781605,0.8250403633211476,1.0,118.54355533201628
LTDO,B,Diphenhydramine + Epinephrine,0.4807354994459633,5.408370602784402,4.621604502714831,4.68754769040484,8.079720951398034,4.621604502714831,1.0,332.51188655741106
LTDO,B,Diphenhydramine + Ketamine,0.1262154260828089,4.318746923734253,3.60191136038507,2.7569649875912052,6.677435012408795,3.60191136038507,1.0,45.03839726596778
LTDO,B,Diphenhydramine + Lidocaine,0.30418430673048236,3.9933621840788818,3.01624509318335,2.2877012164942903,6.848580747792074,3.016245093183349,1.0,47.62619562775333
LTDO,B,Diphenhydramine + Naloxone,0.1866661471458081,4.4349633581180665,4.193201784153186,3.830067993408244,6.3824292253774555,4.193201784153186,1.0,56.73168274046636
LTDO,B,Diphenhydramine + Promethazine,-1.0170745102207701,6.696722254278584,6.080617206801038,7.365696508180884,8.500643008261488,6.080617206801037,1.0,52.772236726180445
LTDO,B,Epinephrine + Ketamine,0.7153120514364966,2.503533991900111,2.4380346536835353,2.3624588024765867,3.1660274163621747,2.4380346536835353,1.0,50.86354370903956
LTDO,B,Epinephrine + Lidocaine,0.7263265693286709,2.1423773697933393,1.8657171903457135,1.8898713269345568,3.1920387212021595,1.8657171903457135,1.0,147.80904323011134
LTDO,B,Epinephrine + Naloxone,0.3855420528920134,3.1905683758836685,3.0617192755555087,2.8652493344368315,4.44144667517083,3.0617192755555087,1.0,110.59966306419923
LTDO,B,Epinephrine + Promethazine,-3.5472979966374414,7.09797875153622,6.9992834277277085,7.1761504028923735,8.811813398980565,6.9992834277277085,1.0,3646.4341257939714
LTDO,B,Ketamine + Lidocaine,-8.483875298741795,1.5329621832798521,1.3765303673565654,1.6399760210826686,2.021991229303532,1.3765303673565654,1.0,50.29861350518286
LTDO,B,Ketamine + Naloxone,-46.64078372618955,4.2865316053009375,3.8730246332007425,4.507530548951965,6.096927914157687,3.8730246332007425,1.0,61.44192485069583
LTDO,B,Ketamine + Promethazine,-0.7236545772730241,0.9193982595602919,0.7161795332004119,0.5476425955401201,1.7288787065173878,0.7161795332004119,1.0,121.71049680515493
LTDO,B,Lidocaine + Naloxone,-248.94504387869583,4.231111109336435,3.4156360838497344,2.248884514159713,7.059992620602882,3.415636083849735,1.0,92.2945380310488
LTDO,B,Lidocaine + Promethazine,-309.91654411463463,8.950212741817873,8.20227154745079,10.298514615271827,11.347201446104114,8.202271547450788,1.0,3045.7960792545714
LTDO,B,Naloxone + Promethazine,-53.40047312496837,3.392247369208007,2.928214937277183,2.1160774982111383,6.416807241568714,2.928214937277184,1.0,153.868838058338
